iProfile,iBOFEK2012,iHoofd,iSoil1,iZ1,iSoil2,iZ2,iSoil3,iZ3,iSoil4,iZ4,iSoil5,iZ5,iSoil6,iZ6,iSoil7,iZ7,iSoil8,iZ8,iSoil9,iZ9
1010,101,1,17,20,17,35,35,70,35,120,0,99999,0,99999,0,99999,0,99999,0,99999
1020,101,1,17,8,17,25,35,35,35,70,35,120,0,99999,0,99999,0,99999,0,99999
1030,105,1,17,15,34,40,34,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
1040,105,1,17,15,34,35,34,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
1050,101,1,17,15,35,30,35,50,35,120,0,99999,0,99999,0,99999,0,99999,0,99999
1060,105,1,17,20,35,40,35,70,30,120,0,99999,0,99999,0,99999,0,99999,0,99999
1070,102,1,17,20,35,40,35,80,36,100,20,120,0,99999,0,99999,0,99999,0,99999
1071,101,1,17,20,35,40,35,80,36,100,20,120,0,99999,0,99999,0,99999,0,99999
1072,102,1,17,20,35,40,35,80,36,100,24,120,0,99999,0,99999,0,99999,0,99999
1080,103,1,16,15,35,60,35,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
1090,103,1,16,15,35,60,35,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
1100,103,1,16,20,35,50,35,70,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
1110,103,1,16,20,35,50,35,70,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
1111,104,1,16,20,35,50,35,70,20,90,32,120,0,99999,0,99999,0,99999,0,99999
1120,103,1,16,20,34,60,20,75,20,90,19,120,0,99999,0,99999,0,99999,0,99999
1130,101,1,17,7,31,20,31,35,35,70,35,120,0,99999,0,99999,0,99999,0,99999
1140,101,1,17,10,28,30,35,70,35,120,0,99999,0,99999,0,99999,0,99999,0,99999
1150,105,1,17,5,31,15,36,30,34,60,34,120,0,99999,0,99999,0,99999,0,99999
1160,101,1,17,8,28,25,30,35,35,60,35,120,0,99999,0,99999,0,99999,0,99999
1170,101,1,17,7,30,20,36,35,35,60,35,120,0,99999,0,99999,0,99999,0,99999
1180,102,1,17,8,17,20,36,35,35,80,19,120,0,99999,0,99999,0,99999,0,99999
1190,101,1,17,8,31,30,35,60,35,120,0,99999,0,99999,0,99999,0,99999,0,99999
1200,105,1,17,8,31,30,34,60,34,120,0,99999,0,99999,0,99999,0,99999,0,99999
1210,105,1,17,8,31,30,34,60,34,120,0,99999,0,99999,0,99999,0,99999,0,99999
1220,101,1,17,10,31,35,35,70,35,120,0,99999,0,99999,0,99999,0,99999,0,99999
1225,101,1,17,10,28,30,35,70,35,120,0,99999,0,99999,0,99999,0,99999,0,99999
1230,102,1,17,10,31,35,35,80,19,95,19,120,0,99999,0,99999,0,99999,0,99999
1235,102,1,17,10,28,30,35,80,19,95,19,120,0,99999,0,99999,0,99999,0,99999
1240,105,1,17,10,31,35,35,70,31,120,0,99999,0,99999,0,99999,0,99999,0,99999
1250,109,1,2,15,35,40,35,75,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
1255,106,1,4,25,35,40,35,75,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
1260,109,1,2,15,35,40,35,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
1265,106,1,4,25,35,40,35,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
1270,110,1,2,20,34,75,20,90,19,110,19,120,0,99999,0,99999,0,99999,0,99999
1275,106,1,2,30,36,75,20,90,19,110,19,120,0,99999,0,99999,0,99999,0,99999
1281,107,1,18,10,34,40,34,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
1282,107,1,16,10,34,35,34,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
1290,107,1,18,12,35,45,35,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
1300,105,1,18,12,35,45,35,70,31,120,0,99999,0,99999,0,99999,0,99999,0,99999
1310,108,1,16,12,35,35,35,85,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
1320,108,1,16,12,34,35,34,70,20,80,20,100,20,120,0,99999,0,99999,0,99999
1330,109,1,15,20,35,45,35,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
1340,109,1,15,20,35,45,35,70,21,85,20,120,0,99999,0,99999,0,99999,0,99999
1350,110,1,15,20,34,55,20,70,19,90,19,120,0,99999,0,99999,0,99999,0,99999
2010,202,2,9,8,9,15,29,30,36,50,22,60,20,80,19,120,0,99999,0,99999
2015,202,2,9,10,28,30,36,50,22,60,20,80,19,120,0,99999,0,99999,0,99999
2020,203,2,15,20,36,35,20,50,20,65,19,90,19,120,0,99999,0,99999,0,99999
2030,204,2,15,20,36,35,20,50,20,65,19,90,24,120,0,99999,0,99999,0,99999
2040,205,2,2,20,36,35,20,60,20,80,19,100,19,120,0,99999,0,99999,0,99999
2050,206,2,2,20,36,35,20,60,20,80,19,100,24,120,0,99999,0,99999,0,99999
2060,203,2,15,20,34,30,34,40,20,50,20,70,20,90,19,120,0,99999,0,99999
2070,204,2,15,20,34,30,34,40,20,50,20,70,20,90,24,120,0,99999,0,99999
2080,201,2,17,20,36,30,30,70,30,120,0,99999,0,99999,0,99999,0,99999,0,99999
2081,201,2,17,20,36,30,30,70,30,120,0,99999,0,99999,0,99999,0,99999,0,99999
2090,201,2,17,15,36,30,30,70,30,120,0,99999,0,99999,0,99999,0,99999,0,99999
2110,202,2,9,18,29,30,36,60,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
2115,202,2,9,10,28,30,36,60,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
2120,205,2,2,20,36,40,21,55,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
2121,206,2,2,20,36,40,21,55,20,90,24,120,0,99999,0,99999,0,99999,0,99999
2125,205,2,2,25,36,40,21,55,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
2130,203,2,15,20,36,30,25,40,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
2131,203,2,15,20,36,30,25,40,20,90,23,120,0,99999,0,99999,0,99999,0,99999
2140,204,2,15,20,36,30,25,40,20,80,24,120,0,99999,0,99999,0,99999,0,99999
2150,203,2,15,20,36,30,25,45,19,120,0,99999,0,99999,0,99999,0,99999,0,99999
2151,204,2,15,20,36,30,25,45,19,90,25,120,0,99999,0,99999,0,99999,0,99999
2160,203,2,15,20,36,35,21,50,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
9013010,310,3,2,25,20,40,20,70,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
9023010,310,3,2,12,20,35,20,70,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
3011,310,3,2,12,20,35,20,70,20,100,23,120,0,99999,0,99999,0,99999,0,99999
9013020,312,3,3,25,21,40,20,70,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
9023020,312,3,3,13,21,35,20,70,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
3030,320,3,5,15,23,35,23,70,23,120,0,99999,0,99999,0,99999,0,99999,0,99999
3040,310,3,2,25,2,40,20,60,19,80,19,120,0,99999,0,99999,0,99999,0,99999
3050,312,3,3,25,3,40,21,50,21,75,20,120,0,99999,0,99999,0,99999,0,99999
3060,319,3,3,25,3,40,21,50,21,75,21,100,24,120,0,99999,0,99999,0,99999
3070,320,3,5,25,5,40,23,55,23,80,23,120,0,99999,0,99999,0,99999,0,99999
9014010,304,3,2,25,20,40,20,60,19,120,0,99999,0,99999,0,99999,0,99999,0,99999
9034010,304,3,2,15,19,25,19,40,19,60,19,120,0,99999,0,99999,0,99999,0,99999
9024010,304,3,2,25,20,40,20,60,19,120,0,99999,0,99999,0,99999,0,99999,0,99999
4015,304,3,3,25,20,40,20,60,19,120,0,99999,0,99999,0,99999,0,99999,0,99999
9024020,305,3,2,8,19,15,19,30,19,55,19,90,23,120,0,99999,0,99999,0,99999
9014020,305,3,2,25,19,35,19,55,19,90,23,120,0,99999,0,99999,0,99999,0,99999
4030,315,3,2,20,20,40,20,55,20,90,24,120,0,99999,0,99999,0,99999,0,99999
4031,306,3,2,20,20,40,20,50,20,100,32,120,0,99999,0,99999,0,99999,0,99999
4040,307,3,8,20,27,35,20,45,19,70,19,120,0,99999,0,99999,0,99999,0,99999
4041,308,3,8,20,27,35,20,45,19,70,19,100,24,120,0,99999,0,99999,0,99999
4045,307,3,8,20,27,35,20,45,19,70,19,120,0,99999,0,99999,0,99999,0,99999
9014050,312,3,3,25,21,40,21,55,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
9034050,312,3,3,8,21,25,21,40,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
9024050,312,3,3,20,21,40,21,55,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
4060,312,3,3,20,21,40,21,55,20,110,23,120,0,99999,0,99999,0,99999,0,99999
4070,315,3,3,20,21,40,21,50,20,90,24,120,0,99999,0,99999,0,99999,0,99999
4071,314,3,3,20,21,40,21,50,20,90,32,120,0,99999,0,99999,0,99999,0,99999
9024080,320,3,5,8,23,22,23,30,23,40,23,120,0,99999,0,99999,0,99999,0,99999
9014080,320,3,5,20,23,45,23,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
9014090,310,3,2,25,2,40,19,60,19,75,19,120,0,99999,0,99999,0,99999,0,99999
9024090,310,3,2,25,2,40,19,60,19,75,19,120,0,99999,0,99999,0,99999,0,99999
4100,305,3,2,25,2,40,19,55,19,90,23,120,0,99999,0,99999,0,99999,0,99999
4110,319,3,2,25,2,35,20,55,20,70,20,100,24,120,0,99999,0,99999,0,99999
4111,306,3,2,25,2,35,19,60,19,75,20,100,32,120,0,99999,0,99999,0,99999
9014120,312,3,3,25,3,45,21,60,20,75,20,120,0,99999,0,99999,0,99999,0,99999
9024120,312,3,3,25,3,40,21,60,20,75,20,120,0,99999,0,99999,0,99999,0,99999
4121,312,3,3,25,3,45,21,60,20,75,20,105,23,120,0,99999,0,99999,0,99999
4130,319,3,3,25,3,40,21,55,21,85,24,120,0,99999,0,99999,0,99999,0,99999
4131,314,3,3,25,3,40,21,55,21,85,32,120,0,99999,0,99999,0,99999,0,99999
4140,301,3,1,8,19,15,19,30,19,50,19,120,0,99999,0,99999,0,99999,0,99999
4150,301,3,1,8,19,15,19,30,19,50,19,80,23,120,0,99999,0,99999,0,99999
4160,320,3,5,8,23,15,23,30,23,60,23,120,0,99999,0,99999,0,99999,0,99999
4170,310,3,2,25,2,35,20,50,20,65,19,120,0,99999,0,99999,0,99999,0,99999
5010,505,5,13,20,32,50,33,80,32,120,0,99999,0,99999,0,99999,0,99999,0,99999
5011,506,5,13,20,32,50,33,80,32,110,23,120,0,99999,0,99999,0,99999,0,99999
5020,507,5,14,25,33,40,33,60,33,90,33,120,0,99999,0,99999,0,99999,0,99999
5030,507,5,14,20,33,40,33,90,33,120,0,99999,0,99999,0,99999,0,99999,0,99999
5040,417,4,8,25,27,40,27,55,28,90,26,120,0,99999,0,99999,0,99999,0,99999
8010,311,3,2,15,2,50,2,70,19,120,0,99999,0,99999,0,99999,0,99999,0,99999
8012,311,3,2,15,2,50,16,70,19,120,0,99999,0,99999,0,99999,0,99999,0,99999
8016,327,3,1,15,1,55,19,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
8020,317,3,3,20,3,50,3,70,21,120,0,99999,0,99999,0,99999,0,99999,0,99999
8021,311,3,3,20,3,50,3,70,20,90,23,120,0,99999,0,99999,0,99999,0,99999
8022,311,3,3,20,3,50,16,70,21,120,0,99999,0,99999,0,99999,0,99999,0,99999
8030,311,3,2,25,2,60,2,75,20,90,19,120,0,99999,0,99999,0,99999,0,99999
9018040,317,3,3,25,3,65,3,80,21,95,21,120,0,99999,0,99999,0,99999,0,99999
9028040,317,3,3,25,3,65,3,80,21,95,21,120,0,99999,0,99999,0,99999,0,99999
8041,318,3,3,25,3,65,3,80,21,100,32,120,0,99999,0,99999,0,99999,0,99999
8050,322,3,5,25,5,70,23,85,23,120,0,99999,0,99999,0,99999,0,99999,0,99999
8060,311,3,2,25,2,75,2,90,20,105,19,120,0,99999,0,99999,0,99999,0,99999
8061,306,3,2,25,2,75,2,85,20,100,32,120,0,99999,0,99999,0,99999,0,99999
8070,311,3,2,25,1,75,19,90,19,105,23,120,0,99999,0,99999,0,99999,0,99999
9018090,317,3,3,25,3,70,3,90,21,110,21,120,0,99999,0,99999,0,99999,0,99999
9028090,317,3,3,25,3,70,3,90,21,110,21,120,0,99999,0,99999,0,99999,0,99999
8091,317,3,3,25,3,70,2,90,20,110,23,120,0,99999,0,99999,0,99999,0,99999
8100,319,3,3,25,3,65,20,90,24,120,0,99999,0,99999,0,99999,0,99999,0,99999
8101,318,3,3,25,3,60,3,75,21,90,32,120,0,99999,0,99999,0,99999,0,99999
8110,322,3,5,25,5,60,23,90,23,120,0,99999,0,99999,0,99999,0,99999,0,99999
8120,327,3,1,30,1,50,19,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
9010,416,4,8,30,8,70,25,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
9020,505,5,13,25,13,60,32,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
10010,309,3,2,20,2,30,20,60,19,120,0,99999,0,99999,0,99999,0,99999,0,99999
10012,305,3,2,20,2,30,20,60,19,90,23,120,0,99999,0,99999,0,99999,0,99999
10013,315,3,2,20,2,30,20,60,20,90,24,120,0,99999,0,99999,0,99999,0,99999
10014,327,3,1,20,1,30,19,60,36,100,19,120,0,99999,0,99999,0,99999,0,99999
10016,327,3,1,20,1,30,19,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
10020,307,3,8,15,27,35,19,70,19,120,0,99999,0,99999,0,99999,0,99999,0,99999
90110030,313,3,3,25,3,30,21,60,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
90310030,313,3,3,15,21,30,21,60,19,120,0,99999,0,99999,0,99999,0,99999,0,99999
90210030,313,3,3,20,3,30,21,60,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
10040,309,3,3,20,3,30,21,60,20,90,23,120,0,99999,0,99999,0,99999,0,99999
10060,315,3,3,20,3,30,21,80,24,120,0,99999,0,99999,0,99999,0,99999,0,99999
10061,314,3,3,20,21,30,21,50,21,90,32,120,0,99999,0,99999,0,99999,0,99999
10070,313,3,3,15,21,30,21,60,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
10071,313,3,3,15,21,30,21,60,20,100,23,120,0,99999,0,99999,0,99999,0,99999
10072,314,3,3,15,21,30,21,90,32,120,0,99999,0,99999,0,99999,0,99999,0,99999
10080,316,3,8,15,28,30,21,60,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
10081,316,3,8,15,28,30,21,60,20,90,23,120,0,99999,0,99999,0,99999,0,99999
10090,316,3,8,15,28,30,21,60,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
10100,320,3,5,20,23,35,23,85,28,120,0,99999,0,99999,0,99999,0,99999,0,99999
10110,310,3,2,25,20,50,19,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
10111,305,3,2,25,20,40,19,90,23,120,0,99999,0,99999,0,99999,0,99999,0,99999
10112,314,3,2,25,20,40,20,90,32,120,0,99999,0,99999,0,99999,0,99999,0,99999
10120,307,3,8,25,20,40,20,70,19,120,0,99999,0,99999,0,99999,0,99999,0,99999
10121,308,3,8,20,27,35,21,50,21,90,24,120,0,99999,0,99999,0,99999,0,99999
10130,312,3,3,25,21,40,21,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
10140,305,3,3,25,21,40,20,70,23,120,0,99999,0,99999,0,99999,0,99999,0,99999
10150,319,3,3,25,21,50,21,90,24,120,0,99999,0,99999,0,99999,0,99999,0,99999
10151,314,3,3,25,21,50,21,90,32,120,0,99999,0,99999,0,99999,0,99999,0,99999
10170,320,3,5,20,23,70,23,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
90210186,302,3,1,8,19,40,19,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
90110186,302,3,2,20,19,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
10182,302,3,1,8,19,40,19,100,23,120,0,99999,0,99999,0,99999,0,99999,0,99999
10186,324,3,1,8,19,40,19,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
10190,303,3,9,15,28,35,19,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
10191,321,3,9,15,28,35,23,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
10195,303,3,9,15,28,35,19,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
10200,312,3,3,15,21,35,21,60,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
10201,314,3,3,15,21,90,32,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
10210,313,3,3,15,21,50,20,90,19,120,0,99999,0,99999,0,99999,0,99999,0,99999
10211,309,3,2,15,20,45,20,70,19,120,0,99999,0,99999,0,99999,0,99999,0,99999
10220,316,3,9,15,28,35,21,80,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
10221,303,3,9,15,28,35,19,90,19,120,0,99999,0,99999,0,99999,0,99999,0,99999
10230,320,3,5,20,23,30,23,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
10240,302,3,1,6,19,10,19,15,19,120,0,99999,0,99999,0,99999,0,99999,0,99999
10241,301,3,1,6,19,10,19,15,19,35,19,43,19,55,19,70,19,90,19,120
10250,302,3,1,6,19,10,19,15,19,90,23,120,0,99999,0,99999,0,99999,0,99999
10251,320,3,1,6,19,10,19,15,19,30,20,45,20,60,23,90,23,120,0,99999
10260,320,3,5,5,23,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
